age	Asian, Asian British or Asian Welsh: Bangladeshi Female	Asian, Asian British or Asian Welsh: Bangladeshi Male	Asian, Asian British or Asian Welsh: Chinese Female	Asian, Asian British or Asian Welsh: Chinese Male	Asian, Asian British or Asian Welsh: Indian Female	Asian, Asian British or Asian Welsh: Indian Male	Asian, Asian British or Asian Welsh: Pakistani Female	Asian, Asian British or Asian Welsh: Pakistani Male	Asian, Asian British or Asian Welsh: Other Asian Female	Asian, Asian British or Asian Welsh: Other Asian Male	Black, Black British, Black Welsh, Caribbean or African: African Female	Black, Black British, Black Welsh, Caribbean or African: African Male	Black, Black British, Black Welsh, Caribbean or African: Caribbean Female	Black, Black British, Black Welsh, Caribbean or African: Caribbean Male	Black, Black British, Black Welsh, Caribbean or African: Other Black Female	Black, Black British, Black Welsh, Caribbean or African: Other Black Male	Mixed or Multiple ethnic groups: White and Asian Female	Mixed or Multiple ethnic groups: White and Asian Male	Mixed or Multiple ethnic groups: White and Black African Female	Mixed or Multiple ethnic groups: White and Black African Male	Mixed or Multiple ethnic groups: White and Black Caribbean Female	Mixed or Multiple ethnic groups: White and Black Caribbean Male	Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups Female	Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups Male	White: English, Welsh, Scottish, Northern Irish or British Female	White: English, Welsh, Scottish, Northern Irish or British Male	White: Gypsy or Irish Traveller Female	White: Gypsy or Irish Traveller Male	White: Irish Female	White: Irish Male	White: Roma Female	White: Roma Male	White: Other White Female	White: Other White Male	Other ethnic group: Arab Female	Other ethnic group: Arab Male	Other ethnic group: Any other ethnic group Female	Other ethnic group: Any other ethnic group Male
22	5520	5605	7385	6310	10885	12590	11870	12395	6670	7175	12255	12060	4040	4115	1755	2170	4300	4135	2095	1980	5385	5030	3850	3745	246355	252605	480	545	2005	1940	885	1065	26255	21755	2640	2900	6225	6395
23	5505	5555	7970	6435	11180	13675	11660	11860	6895	6900	12365	11565	4325	3980	1760	2035	4145	4010	2020	1830	5265	5020	3870	3620	250770	254655	555	475	2160	1995	990	1140	28890	22935	2425	2505	6300	6465
24	5540	4935	6590	5655	11845	13720	11695	11520	7075	7010	12370	11410	4250	4115	1660	2115	4030	3760	1960	1790	5460	4965	3870	3485	256125	259290	500	425	2460	2155	1075	1320	31990	24830	2385	2480	6425	6410
25	5575	4800	5245	4475	12035	13255	11405	11300	6950	6915	12520	11045	4320	4175	1765	1880	3795	3645	1720	1595	5000	4830	3590	3225	255065	257490	465	425	2525	2385	1205	1435	34785	28175	2590	2520	7075	6735
26	5350	4700	5105	4335	12545	12760	11925	11265	7250	6780	12370	10710	4445	3930	1560	1760	3855	3425	1620	1535	4995	4510	3755	3360	261505	261755	480	505	2605	2470	1205	1595	38070	30590	2785	2480	7195	6980
27	5255	4565	4460	3725	13330	12740	12430	11260	7610	6750	12065	10265	4425	4090	1530	1730	3465	3305	1635	1485	4985	4605	3865	3505	266625	264910	510	475	2795	2670	1325	1675	42225	33665	2720	2555	7480	7425
28	4965	4230	4515	3630	14420	12795	12555	11650	8405	7055	11845	10095	4630	3890	1405	1540	3370	3165	1580	1430	5100	4395	3740	3360	271110	267245	485	540	2940	2755	1400	1775	44785	36955	2680	2495	7445	7630
29	5125	4440	4130	3340	15170	13395	12190	11850	8815	7380	11490	9510	4635	4120	1420	1485	3450	3065	1480	1310	5065	4265	4100	3310	279035	273470	500	505	3055	3080	1325	1875	47670	39220	2805	2655	8030	7805
30	5180	4700	4620	3545	16250	14310	12685	12130	9090	7775	12255	9775	4775	4105	1255	1385	3420	3215	1575	1415	4975	4365	4080	3445	285020	278780	570	515	3195	3190	1490	1750	49290	41755	2920	2810	8110	8245
31	5975	4805	4600	3280	17010	15135	13535	12500	9350	7750	12425	10570	4560	3970	1425	1285	3250	2965	1480	1330	4535	4005	4165	3350	276440	269085	515	505	3020	2970	1380	1980	51170	43910	2985	2715	8975	8525
32	6420	4845	4795	3370	18135	16245	13925	12925	9505	7910	12815	10105	4785	3825	1600	1375	3070	2850	1465	1220	4525	3805	4015	3580	276400	266740	500	490	2990	3085	1370	1880	51220	44725	3035	2985	8965	8380
33	6695	4655	4625	3130	19420	17585	14515	13240	10015	7630	12955	9740	4575	4020	1400	1335	2970	2830	1420	1320	4285	3670	4080	3345	277530	269475	545	590	3035	3305	1240	1660	52520	45295	2985	3000	9500	8270
34	6335	4820	4460	3025	19630	17885	14455	13095	10505	7755	13355	10240	4540	3690	1480	1370	2780	2615	1390	1175	4010	3445	4125	3150	267230	257960	505	450	2960	3180	1185	1545	52555	44730	3060	2920	9225	8295
35	6100	4825	4440	3060	20295	18650	14680	13560	10115	7955	13380	10335	4550	3765	1410	1320	2680	2560	1345	1260	3535	3200	3820	3265	263470	258120	510	425	2980	3210	1135	1585	52850	45570	3100	3030	9145	9155
36	6185	5110	4565	3240	19960	19080	14510	13250	9920	7905	13480	10715	4620	3670	1490	1240	2510	2445	1420	1175	3375	2865	3625	3215	259740	252900	500	490	2830	3140	1020	1410	53450	46215	3060	2855	9140	8800
37	6185	4985	4805	3385	19850	18860	14405	13335	9565	7475	13690	10310	4360	3575	1385	1285	2310	2295	1310	1200	3025	2670	3630	3030	254220	249110	470	385	2865	3210	905	1425	52220	45065	2805	2875	9130	8760
38	6000	5355	5085	3520	19530	19380	14530	13795	9730	7115	14285	10970	4505	3645	1560	1400	2290	2105	1415	1245	2980	2505	3630	2930	251155	246275	520	415	2890	3235	865	1290	51215	44675	2760	2865	9295	8770
39	6140	5285	4995	3580	19075	19555	14205	13485	10165	7420	13190	10350	4600	3480	1415	1290	2210	2065	1320	1140	2670	2365	3470	2860	253865	249470	485	415	3030	3270	875	1110	49520	44275	2680	2885	9160	8630
40	6075	5660	4455	3220	19055	19470	14455	13625	10295	7555	14875	11510	4430	3565	1440	1370	2310	2060	1385	1155	2570	2280	3340	2850	263320	255790	445	460	3110	3380	790	1100	48600	43940	2620	2915	9410	9055
41	5960	5900	4370	3255	18575	18825	14450	13855	10355	7720	14830	11405	4670	3580	1475	1320	2065	1935	1300	1105	2370	1985	3165	2675	259365	254180	475	425	2980	3335	760	1110	46130	42110	2515	2975	8915	8940
